,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
29,All City Leadership Secondary School,"$17,677",447,"$382,913",91%
30,Amistad Dual Language School,"$21,900",391,"$423,143",90%
31,Ampark Neighborhood,"$21,565",352,"$318,366",91%
32,Andries Hudde,"$22,830",717,"$848,751",90%
33,Antonia Pantoja Preparatory Academy: A College Board School,"$24,662",413,"$528,380",90%
34,Archer Elementary School,"$25,797",479,"$110,850",98%
35,"Archimedes Academy for Math, Science and Technology Applications","$22,582",674,"$779,092",90%
36,Art and Design High School,"$21,274",1446,"$282,970",98%
37,Arturo A. Schomburg Satellite Academy Bronx,"$23,937",182,"$245,044",90%
38,Aspirations Diploma Plus High School,"$28,460",284,"$354,954",92%
39,Astor Collegiate Academy,"$21,469",457,"$536,743",90%
40,August Martin High School,"$32,665",294,$0,100%
41,Automotive High School,"$52,241",202,$0,100%
42,Automotive High School YABC,"$12,467",202,N/A,
43,Aviation Career & Technical Education High School,"$20,573",2055,"$2,455,352",90%
44,Baccalaureate School for Global Education,"$18,975",533,$0,120%
45,"Ballet Tech, NYC Public School for Dance","$22,622",136,$0,101%
46,Bard High School Early College,"$19,170",608,"$447,633",93%
47,Bard High School Early College Queens,"$18,140",621,"$394,988",94%
48,Baruch College Campus High School,"$18,681",474,"$304,614",94%
49,Battery Park City School,"$21,094",796,"$560,503",93%
50,Baychester Academy,"$25,204",360,"$196,451",94%
51,Baychester Middle School,"$23,025",276,"$57,458",98%
52,Bayside High School,"$19,545",2973,"$3,302,414",90%
53,Beacon High School,"$16,068",1423,"$1,208,120",90%
54,Bedford Academy High School,"$20,487",359,$0,104%
55,Bedford Park Elementary School,"$20,561",390,$0,100%
56,Bell Academy,"$21,524",370,"$206,833",95%
57,Belmont Preparatory High School,"$23,208",400,$0,107%
58,Benjamin Banneker Academy,"$19,045",825,"$474,072",94%
59,Benjamin Franklin High School for Finance & Information Technology,"$22,405",408,$0,100%
60,Benjamin N. Cardozo High School,"$16,890",3659,"$3,613,746",90%
61,Blueprint Middle School,"$26,290",545,$0,100%
62,Boys and Girls High School,"$32,186",420,$0,100%
63,Boys and Girls YABC,"$13,053",192,N/A,
64,Brighter Choice Community School,"$22,459",262,"$141,186",94%
65,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,"$19,736",523,$0,100%
66,Bronx Academy of Health Careers,"$23,107",381,"$485,316",90%
67,Bronx Aerospace High School,"$27,990",308,"$196,517",95%
68,Bronx Alliance Middle School,"$22,996",329,$0,100%
69,Bronx Arena High School,"$25,333",184,"$95,363",96%
70,Bronx Bridges High School,"$25,237",347,$0,101%
71,Bronx Career and College Preparatory High School,"$27,890",220,$0,100%
72,Bronx Center for Science and Mathematics,"$20,951",472,"$526,794",90%
73,Bronx Collaborative High School,"$22,421",578,$0,100%
74,Bronx Collegiate Academy,"$26,498",386,$0,100%
75,Bronx Community High School,"$29,496",148,"$213,945",90%
76,Bronx Compass High School,"$23,122",424,$0,100%
77,Bronx Dance Academy School,"$21,868",270,"$312,094",90%
78,Bronx Delta School,"$24,111",314,$0,100%
79,Bronx Design and Construction Academy,"$27,414",462,$0,100%
80,Bronx Early College Academy for Teaching & Learning,"$22,733",505,$0,100%
81,Bronx Engineering and Technology Academy,"$24,246",391,"$505,070",90%
82,Bronx Envision Academy,"$23,222",426,"$6,117",100%
83,Bronx Green Middle School,"$22,908",392,"$495,930",90%
84,Bronx Haven High School,"$25,885",177,"$194,669",93%
85,Bronx Health Sciences High School,"$21,593",301,"$325,239",90%
86,Bronx High School for Law and Community Service,"$23,999",398,"$394,664",92%
87,Bronx High School for Medical Science,"$23,763",444,$0,126%
88,Bronx High School for the Visual Arts,"$26,611",410,"$603,219",90%
89,Bronx High School for Writing and Communication Arts,"$22,310",333,"$407,403",90%
90,Bronx High School of Business,"$32,386",286,$0,115%
91,Bronx High School of Science,"$16,114",3004,"$2,955,491",90%
92,Bronx International High School,"$25,276",394,"$521,494",90%
93,Bronx Lab School,"$25,618",379,"$537,608",90%
94,Bronx Latin,"$22,187",635,"$773,315",90%
95,Bronx Leadership Academy High School,"$23,545",556,"$712,849",90%
96,Bronx Leadership Academy II High School,"$24,735",522,"$722,231",90%
97,Bronx Little School,"$26,003",263,"$63,968",98%
98,Bronx Park Middle School,"$24,128",401,$0,100%
99,Bronx Regional High School,"$26,138",216,"$300,449",90%
100,Bronx River High School,"$23,198",437,$0,100%
101,"Bronx School for Law, Government and Justice","$21,786",755,"$168,582",98%
102,Bronx School of Law and Finance,"$24,620",386,"$490,903",90%
103,Bronx Studio School for Writers and Artists,"$24,733",660,$0,100%
104,Bronx Theatre High School,"$22,478",376,"$395,769",92%
105,Bronx Writing Academy,"$25,831",424,"$579,728",90%
